sno;id;name;category;image;model_number;brand;color_family;link;newprice;oldprice
19;RE393EL21OYG;Rearth Tempered Glass for Google Nexus 5X Pack of 4 (NEX5X-RE-SP1, Clear);Mobile Cases & Covers;https://f.wadicdn.com/product/87/2861/1-product.jpg;NEX5X-RE-SP1;Rearth;Transparent;https://en-ae.wadi.com/tempered-glass-for-google-nexus-5x-pack-of-4-nex5x-re-sp1-clear-168278.html;51;51
20;RE393EL22OYF;Rearth Back Cover for HTC One A9 (H1A9-RE-F-SM, Black);Mobile Cases & Covers;https://f.wadicdn.com/product/77/2861/1-product.jpg;H1A9-RE-F-SM;Rearth;black;https://en-ae.wadi.com/back-cover-for-htc-one-a9-h1a9-re-f-sm-black-168277.html;64;64
21;RE393EL18OYJ;Rearth Tempered Glass for OnePlus X (1PX-RE-SP6-A, Clear);Mobile Cases & Covers;https://f.wadicdn.com/product/18/2861/1-product.jpg;1PX-RE-SP6-A;Rearth;Transparent;https://en-ae.wadi.com/tempered-glass-for-oneplus-x-1px-re-sp6-a-clear-168281.html;51;51
22;RE393EL35OXS;Rearth Back Cover for Xperia Z5 Premium (XPZ5P-RE-F-C, Clear);Mobile Cases & Covers;https://f.wadicdn.com/product/46/2861/1-product.jpg;XPZ5P-RE-F-C;Rearth;Transparent;https://en-ae.wadi.com/back-cover-for-xperia-z5-premium-xpz5p-re-f-c-clear-168264.html;64;64
23;RE393EL30OXX;Rearth Back Cover for iPhone 6 Plus / 6S (I6P-RE-AI-RGO, Pink);Mobile Cases & Covers;https://f.wadicdn.com/product/96/2861/1-product.jpg;I6P-RE-AI-RGO;Rearth;pink;https://en-ae.wadi.com/back-cover-for-iphone-6-plus-6s-i6p-re-ai-rgo-pink-168269.html;58;58
24;RE393EL28OXZ;Rearth Back Cover for iPhone 6 / 6S (I6-RE-AI-C, Clear);Mobile Cases & Covers;https://f.wadicdn.com/product/17/2861/1-product.jpg;I6-RE-AI-C;Rearth;Transparent;https://en-ae.wadi.com/back-cover-for-iphone-6-6s-i6-re-ai-c-clear-168271.html;58;58
25;RE393EL33OXU;Rearth Back Cover for OnePlus X (1PX-RE-F-C, Clear);Mobile Cases & Covers;https://f.wadicdn.com/product/66/2861/1-product.jpg;1PX-RE-F-C;Rearth;Transparent;https://en-ae.wadi.com/back-cover-for-oneplus-x-1px-re-f-c-clear-168266.html;64;64
26;RE393EL29OXY;Rearth Back Cover for iPhone 6 / 6S (I6-RE-AI-RGO, Pink);Mobile Cases & Covers;https://f.wadicdn.com/product/07/2861/1-product.jpg;I6-RE-AI-RGO;Rearth;pink;https://en-ae.wadi.com/back-cover-for-iphone-6-6s-i6-re-ai-rgo-pink-168270.html;58;58
27;RE393EL25OYC;Rearth Back Cover for LG V10 (LGV10-RE-F-C, Clear);Mobile Cases & Covers;https://f.wadicdn.com/product/47/2861/1-product.jpg;LGV10-RE-F-C;Rearth;Transparent;https://en-ae.wadi.com/back-cover-for-lg-v10-lgv10-re-f-c-clear-168274.html;64;64
28;RE393EL26OYB;Rearth Back Cover for iPhone 6 / 6S (I6-RE-E-BR, Brown);Mobile Cases & Covers;https://f.wadicdn.com/product/37/2861/1-product.jpg;I6-RE-E-BR;Rearth;browns;https://en-ae.wadi.com/back-cover-for-iphone-6-6s-i6-re-e-br-brown-168273.html;82;82
